Procedure;Specialty;Immediate / Intraoperative Complications;Early Post-Operative Complications;Late Post-Operative Complications
Percutaneous Transhepatic Cholangiography (PTC) and Drainage;Interventional Radiology & Cardiology;"Severe intraoperative hemorrhage (hepatic vein or portal vein injury) ; Air embolism via open hepatic veins ; Biliary transection / major duct disruption";"Postoperative liver failure / small-for-size syndrome ; Bile leak or perihepatic abscess ; Coagulopathy and postoperative bleeding ; Pleural effusion or right lung atelectasis";"Recurrence of primary hepatic tumor ; Biliary stricture or persistent bile leak ; Post-resection portal hypertension"
Biliary Stent Placement (Percutaneous);Interventional Radiology & Cardiology;"Major bile duct injury (common bile duct transection / stricture) ; Cystic artery injury or intraoperative hemorrhage ; Bowel or duodenum inadvertent thermal injury";"Bile leak / biloma formation ; Post-cholecystectomy jaundice or retained choledocholithiasis ; Wound infection or port site hematoma ; Acute pancreatitis";"Post-cholecystectomy syndrome (chronic diarrhea, dyspepsia) ; Biliary stricture requiring ERCP or surgical reconstruction ; Incisional hernia"
Percutaneous Nephrostomy Tube Placement;Interventional Radiology & Cardiology;"Intraoperative arterial disruption / severe hemorrhage ; Arrhythmia / cardiac conduction alteration ; Embolic event";"Access site / operative hematoma ; Ischemic complication / graft or vessel occlusion ; Acute kidney injury";"Vascular restenosis / graft failure ; Infective endocarditis / prosthetic infection ; Chronic ischemia"
Percutaneous Ureteral Stenting;Interventional Radiology & Cardiology;"Arterial rupture or dissection ; Distal atheroembolization (trash foot / blue toe syndrome) ; Vascular access site disruption or severe hematoma";"Graft thrombosis or acute limb ischemia ; Contrast-induced nephropathy ; Groin pseudoaneurysm or seroma ; Cranial nerve injury (for carotid procedures)";"Graft infection or aortoenteric fistula ; Restenosis or neointimal hyperplasia ; Endoleak (Type I-IV for EVAR/TEVAR) ; Chronic limb ischemia recurrence"
Uterine Artery Embolization (UAE) for Fibroids;Interventional Radiology & Cardiology;"Intraoperative arterial disruption / severe hemorrhage ; Arrhythmia / cardiac conduction alteration ; Embolic event";"Access site / operative hematoma ; Ischemic complication / graft or vessel occlusion ; Acute kidney injury";"Vascular restenosis / graft failure ; Infective endocarditis / prosthetic infection ; Chronic ischemia"
Prostatic Artery Embolization (PAE);Interventional Radiology & Cardiology;"Intraoperative arterial disruption / severe hemorrhage ; Arrhythmia / cardiac conduction alteration ; Embolic event";"Access site / operative hematoma ; Ischemic complication / graft or vessel occlusion ; Acute kidney injury";"Vascular restenosis / graft failure ; Infective endocarditis / prosthetic infection ; Chronic ischemia"
Varicocele Embolization;Interventional Radiology & Cardiology;"Intraoperative arterial disruption / severe hemorrhage ; Arrhythmia / cardiac conduction alteration ; Embolic event";"Access site / operative hematoma ; Ischemic complication / graft or vessel occlusion ; Acute kidney injury";"Vascular restenosis / graft failure ; Infective endocarditis / prosthetic infection ; Chronic ischemia"
Ovarian Vein Embolization for Pelvic Congestion Syndrome;Interventional Radiology & Cardiology;"Intraoperative arterial disruption / severe hemorrhage ; Arrhythmia / cardiac conduction alteration ; Embolic event";"Access site / operative hematoma ; Ischemic complication / graft or vessel occlusion ; Acute kidney injury";"Vascular restenosis / graft failure ; Infective endocarditis / prosthetic infection ; Chronic ischemia"
Bronchial Artery Embolization for Hemoptysis;Interventional Radiology & Cardiology;"Intraoperative arterial disruption / severe hemorrhage ; Arrhythmia / cardiac conduction alteration ; Embolic event";"Access site / operative hematoma ; Ischemic complication / graft or vessel occlusion ; Acute kidney injury";"Vascular restenosis / graft failure ; Infective endocarditis / prosthetic infection ; Chronic ischemia"
Gastrointestinal Bleeding Embolization;Interventional Radiology & Cardiology;"Intraoperative arterial disruption / severe hemorrhage ; Arrhythmia / cardiac conduction alteration ; Embolic event";"Access site / operative hematoma ; Ischemic complication / graft or vessel occlusion ; Acute kidney injury";"Vascular restenosis / graft failure ; Infective endocarditis / prosthetic infection ; Chronic ischemia"
Trauma Splenic / Hepatic / Renal Artery Embolization;Interventional Radiology & Cardiology;"Severe intraoperative hemorrhage (hepatic vein or portal vein injury) ; Air embolism via open hepatic veins ; Biliary transection / major duct disruption";"Postoperative liver failure / small-for-size syndrome ; Bile leak or perihepatic abscess ; Coagulopathy and postoperative bleeding ; Pleural effusion or right lung atelectasis";"Recurrence of primary hepatic tumor ; Biliary stricture or persistent bile leak ; Post-resection portal hypertension"
Endovascular Aneurysm Repair (EVAR);Interventional Radiology & Cardiology;"Arterial rupture or dissection ; Distal atheroembolization (trash foot / blue toe syndrome) ; Vascular access site disruption or severe hematoma";"Graft thrombosis or acute limb ischemia ; Contrast-induced nephropathy ; Groin pseudoaneurysm or seroma ; Cranial nerve injury (for carotid procedures)";"Graft infection or aortoenteric fistula ; Restenosis or neointimal hyperplasia ; Endoleak (Type I-IV for EVAR/TEVAR) ; Chronic limb ischemia recurrence"
Thoracic Endovascular Aortic Repair (TEVAR);Interventional Radiology & Cardiology;"Arterial rupture or dissection ; Distal atheroembolization (trash foot / blue toe syndrome) ; Vascular access site disruption or severe hematoma";"Graft thrombosis or acute limb ischemia ; Contrast-induced nephropathy ; Groin pseudoaneurysm or seroma ; Cranial nerve injury (for carotid procedures)";"Graft infection or aortoenteric fistula ; Restenosis or neointimal hyperplasia ; Endoleak (Type I-IV for EVAR/TEVAR) ; Chronic limb ischemia recurrence"
Fenestrated EVAR (FEVAR);Interventional Radiology & Cardiology;"Arterial rupture or dissection ; Distal atheroembolization (trash foot / blue toe syndrome) ; Vascular access site disruption or severe hematoma";"Graft thrombosis or acute limb ischemia ; Contrast-induced nephropathy ; Groin pseudoaneurysm or seroma ; Cranial nerve injury (for carotid procedures)";"Graft infection or aortoenteric fistula ; Restenosis or neointimal hyperplasia ; Endoleak (Type I-IV for EVAR/TEVAR) ; Chronic limb ischemia recurrence"
Percutaneous Thrombectomy for Deep Vein Thrombosis (DVT);Interventional Radiology & Cardiology;"Intraoperative arterial disruption / severe hemorrhage ; Arrhythmia / cardiac conduction alteration ; Embolic event";"Access site / operative hematoma ; Ischemic complication / graft or vessel occlusion ; Acute kidney injury";"Vascular restenosis / graft failure ; Infective endocarditis / prosthetic infection ; Chronic ischemia"
Catheter-Directed Thrombolysis (CDT) for DVT / PE;Interventional Radiology & Cardiology;"Intraoperative arterial disruption / severe hemorrhage ; Arrhythmia / cardiac conduction alteration ; Embolic event";"Access site / operative hematoma ; Ischemic complication / graft or vessel occlusion ; Acute kidney injury";"Vascular restenosis / graft failure ; Infective endocarditis / prosthetic infection ; Chronic ischemia"
Percutaneous Pulmonary Embolectomy (Inari / FlowTriever);Interventional Radiology & Cardiology;"Arterial rupture or dissection ; Distal atheroembolization (trash foot / blue toe syndrome) ; Vascular access site disruption or severe hematoma";"Graft thrombosis or acute limb ischemia ; Contrast-induced nephropathy ; Groin pseudoaneurysm or seroma ; Cranial nerve injury (for carotid procedures)";"Graft infection or aortoenteric fistula ; Restenosis or neointimal hyperplasia ; Endoleak (Type I-IV for EVAR/TEVAR) ; Chronic limb ischemia recurrence"
Inferior Vena Cava (IVC) Filter Placement;Interventional Radiology & Cardiology;"Intraoperative arterial disruption / severe hemorrhage ; Arrhythmia / cardiac conduction alteration ; Embolic event";"Access site / operative hematoma ; Ischemic complication / graft or vessel occlusion ; Acute kidney injury";"Vascular restenosis / graft failure ; Infective endocarditis / prosthetic infection ; Chronic ischemia"
Complex Retrieval of IVC Filter;Interventional Radiology & Cardiology;"Intraoperative arterial disruption / severe hemorrhage ; Arrhythmia / cardiac conduction alteration ; Embolic event";"Access site / operative hematoma ; Ischemic complication / graft or vessel occlusion ; Acute kidney injury";"Vascular restenosis / graft failure ; Infective endocarditis / prosthetic infection ; Chronic ischemia"
May-Thurner Syndrome Iliac Vein Stenting;Interventional Radiology & Cardiology;"Arterial rupture or dissection ; Distal atheroembolization (trash foot / blue toe syndrome) ; Vascular access site disruption or severe hematoma";"Graft thrombosis or acute limb ischemia ; Contrast-induced nephropathy ; Groin pseudoaneurysm or seroma ; Cranial nerve injury (for carotid procedures)";"Graft infection or aortoenteric fistula ; Restenosis or neointimal hyperplasia ; Endoleak (Type I-IV for EVAR/TEVAR) ; Chronic limb ischemia recurrence"
Percutaneous Venous Angioplasty;Interventional Radiology & Cardiology;"Arterial rupture or dissection ; Distal atheroembolization (trash foot / blue toe syndrome) ; Vascular access site disruption or severe hematoma";"Graft thrombosis or acute limb ischemia ; Contrast-induced nephropathy ; Groin pseudoaneurysm or seroma ; Cranial nerve injury (for carotid procedures)";"Graft infection or aortoenteric fistula ; Restenosis or neointimal hyperplasia ; Endoleak (Type I-IV for EVAR/TEVAR) ; Chronic limb ischemia recurrence"
Percutaneous Arteriovenous Fistula Creation (Ellipsys / WavelinQ);Interventional Radiology & Cardiology;"Intraoperative arterial disruption / severe hemorrhage ; Arrhythmia / cardiac conduction alteration ; Embolic event";"Access site / operative hematoma ; Ischemic complication / graft or vessel occlusion ; Acute kidney injury";"Vascular restenosis / graft failure ; Infective endocarditis / prosthetic infection ; Chronic ischemia"
AV Fistula / Graft Percutaneous Balloon Angioplasty;Interventional Radiology & Cardiology;"Arterial rupture or dissection ; Distal atheroembolization (trash foot / blue toe syndrome) ; Vascular access site disruption or severe hematoma";"Graft thrombosis or acute limb ischemia ; Contrast-induced nephropathy ; Groin pseudoaneurysm or seroma ; Cranial nerve injury (for carotid procedures)";"Graft infection or aortoenteric fistula ; Restenosis or neointimal hyperplasia ; Endoleak (Type I-IV for EVAR/TEVAR) ; Chronic limb ischemia recurrence"
AV Fistula / Graft Mechanical Thrombectomy;Interventional Radiology & Cardiology;"Arterial rupture or dissection ; Distal atheroembolization (trash foot / blue toe syndrome) ; Vascular access site disruption or severe hematoma";"Graft thrombosis or acute limb ischemia ; Contrast-induced nephropathy ; Groin pseudoaneurysm or seroma ; Cranial nerve injury (for carotid procedures)";"Graft infection or aortoenteric fistula ; Restenosis or neointimal hyperplasia ; Endoleak (Type I-IV for EVAR/TEVAR) ; Chronic limb ischemia recurrence"
Percutaneous Biopsy (CT-Guided / Ultrasound-Guided);Interventional Radiology & Cardiology;"Intraoperative arterial disruption / severe hemorrhage ; Arrhythmia / cardiac conduction alteration ; Embolic event";"Access site / operative hematoma ; Ischemic complication / graft or vessel occlusion ; Acute kidney injury";"Vascular restenosis / graft failure ; Infective endocarditis / prosthetic infection ; Chronic ischemia"
CT-Guided Lung Lesion Biopsy;Interventional Radiology & Cardiology;"Intraoperative arterial disruption / severe hemorrhage ; Arrhythmia / cardiac conduction alteration ; Embolic event";"Access site / operative hematoma ; Ischemic complication / graft or vessel occlusion ; Acute kidney injury";"Vascular restenosis / graft failure ; Infective endocarditis / prosthetic infection ; Chronic ischemia"
Ultrasound-Guided Liver Biopsy;Interventional Radiology & Cardiology;"Severe intraoperative hemorrhage (hepatic vein or portal vein injury) ; Air embolism via open hepatic veins ; Biliary transection / major duct disruption";"Postoperative liver failure / small-for-size syndrome ; Bile leak or perihepatic abscess ; Coagulopathy and postoperative bleeding ; Pleural effusion or right lung atelectasis";"Recurrence of primary hepatic tumor ; Biliary stricture or persistent bile leak ; Post-resection portal hypertension"
