Procedure;Specialty;Immediate / Intraoperative Complications;Early Post-Operative Complications;Late Post-Operative Complications
Enucleation of the Eye;Ophthalmology & Ocular Surgery;"Posterior capsular rupture / vitreous loss; Suprachoroidal hemorrhage (Excessive or unexpected bleeding during the procedure); Inadvertent globe perforation (Accidental hole or tear in an organ or tissue); Bleeding from the Prostate Bed (Excessive bleeding during tissue removal); Urethral Injury (Accidental damage to the urethra during instrument passage)";"Endophthalmitis (intraocular infection); Acute post-op intraocular pressure (IOP) spike; Corneal edema or epithelial defect (Swelling due to fluid accumulation); Retinal detachment (Potential complication during recovery); Urinary Retention (Temporary difficulty emptying the bladder after surgery)";"Posterior capsular opacification (PCO / secondary cataract); Chronic glaucoma or persistent macular edema (Swelling due to fluid accumulation); Refractive surprise or persistent dry eye syndrome (Eye complications); Urethral Stricture (Narrowing of the urine tube causing difficulty urinating); Retrograde Ejaculation (Semen entering the bladder instead of exiting during climax)"
Exenteration of the Orbit;Ophthalmology & Ocular Surgery;"Intraocular tissue laceration / hemorrhage; Capsular rupture / lens dislocation; Anesthetic block injury (Reaction to anesthesia or numbing medication); Iris Trauma (Accidental irritation or tearing of the iris tissue); Zonule Damage (Weakening of the fibers that hold the lens in place)";"Endophthalmitis / intraocular infection; Intraocular pressure spike (Surgical risk that may need intervention); Corneal swelling / inflammation; Dry Eye (Temporary or persistent dryness in the eye); Light Sensitivity (Increased sensitivity to bright light after surgery)";"Chronic glaucoma (Long-lasting or persistent symptoms); Retinal detachment (Potential complication during recovery); Secondary opacification (Potential complication during recovery); Dysphotopsia (Persistent glare, halos, or streaks of light in vision); Late Intraocular Lens Dislocation (The artificial lens shifts out of position over time)"
Orbital Decompression Surgery (Graves' Disease);Ophthalmology & Ocular Surgery;"Intraocular tissue laceration / hemorrhage; Capsular rupture / lens dislocation; Anesthetic block injury (Reaction to anesthesia or numbing medication); Iris Trauma (Accidental irritation or tearing of the iris tissue); Zonule Damage (Weakening of the fibers that hold the lens in place)";"Endophthalmitis / intraocular infection; Intraocular pressure spike (Surgical risk that may need intervention); Corneal swelling / inflammation; Dry Eye (Temporary or persistent dryness in the eye); Light Sensitivity (Increased sensitivity to bright light after surgery)";"Chronic glaucoma (Long-lasting or persistent symptoms); Retinal detachment (Potential complication during recovery); Secondary opacification (Potential complication during recovery); Dysphotopsia (Persistent glare, halos, or streaks of light in vision); Late Intraocular Lens Dislocation (The artificial lens shifts out of position over time)"
Orbital Floor Fracture Repair (Mesh Placement);Ophthalmology & Ocular Surgery;"Inadvertent intraoperative fracture or cortical perforation (Accidental hole or tear in an organ or tissue); Nerve injury (peroneal, sciatic, radial, or axillary nerve); Vascular injury (popliteal or femoral vessels)";"Deep vein thrombosis (DVT) or fatal pulmonary embolism (PE); Prosthetic joint infection (PJI) or surgical site infection; Joint dislocation or instability (Joint complications); Wound healing complications / hematoma";"Aseptic prosthetic loosening or osteolysis (Common post-surgical side effect); Periprosthetic fracture (Potential complication during recovery); Heterotopic ossification (Healing-related issue); Chronic joint stiffness or pain (Post-operative soreness or discomfort as tissues heal)"
Resection of Ocular Surface Squamous Neoplasia (OSSN);Ophthalmology & Ocular Surgery;"Intraocular tissue laceration / hemorrhage; Capsular rupture / lens dislocation; Anesthetic block injury (Reaction to anesthesia or numbing medication); Iris Trauma (Accidental irritation or tearing of the iris tissue); Zonule Damage (Weakening of the fibers that hold the lens in place)";"Endophthalmitis / intraocular infection; Intraocular pressure spike (Surgical risk that may need intervention); Corneal swelling / inflammation; Dry Eye (Temporary or persistent dryness in the eye); Light Sensitivity (Increased sensitivity to bright light after surgery)";"Chronic glaucoma (Long-lasting or persistent symptoms); Retinal detachment (Potential complication during recovery); Secondary opacification (Potential complication during recovery); Dysphotopsia (Persistent glare, halos, or streaks of light in vision); Late Intraocular Lens Dislocation (The artificial lens shifts out of position over time)"
Rhinoplasty (Open Approach);Plastic, Reconstructive & Aesthetic Surgery;"Recurrent laryngeal nerve injury (vocal cord paralysis); Superior laryngeal nerve injury (Temporary or permanent injury to nerves causing numbness or weakness); Carotid artery or internal jugular vein injury (Artery injury or damage); Pneumothorax (Common post-surgical side effect); Anesthetic Complications (Reaction related to general anesthesia)";"Post-thyroidectomy neck hematoma / acute airway compromise; Transient or permanent hypocalcemia (parathyroid injury); Post-tonsillectomy hemorrhage (Excessive or unexpected bleeding during the procedure); CSF leak (nasal/otologic); Wound Infection (Infection at the neck incision site)";"Permanent hypoparathyroidism requiring lifelong calcium/vitamin D; Permanent vocal cord paralysis / hoarseness; Keloid / scar hypertrophy; Nasal septum perforation or saddle nose deformity (Accidental hole or tear in an organ or tissue); Hypothyroidism Requiring Lifelong Medication (Ongoing need for thyroid hormone replacement)"
Rhinoplasty (Closed Approach);Plastic, Reconstructive & Aesthetic Surgery;"Recurrent laryngeal nerve injury (vocal cord paralysis); Superior laryngeal nerve injury (Temporary or permanent injury to nerves causing numbness or weakness); Carotid artery or internal jugular vein injury (Artery injury or damage); Pneumothorax (Common post-surgical side effect); Anesthetic Complications (Reaction related to general anesthesia)";"Post-thyroidectomy neck hematoma / acute airway compromise; Transient or permanent hypocalcemia (parathyroid injury); Post-tonsillectomy hemorrhage (Excessive or unexpected bleeding during the procedure); CSF leak (nasal/otologic); Wound Infection (Infection at the neck incision site)";"Permanent hypoparathyroidism requiring lifelong calcium/vitamin D; Permanent vocal cord paralysis / hoarseness; Keloid / scar hypertrophy; Nasal septum perforation or saddle nose deformity (Accidental hole or tear in an organ or tissue); Hypothyroidism Requiring Lifelong Medication (Ongoing need for thyroid hormone replacement)"
Revision Rhinoplasty;Plastic, Reconstructive & Aesthetic Surgery;"Recurrent laryngeal nerve injury (vocal cord paralysis); Superior laryngeal nerve injury (Temporary or permanent injury to nerves causing numbness or weakness); Carotid artery or internal jugular vein injury (Artery injury or damage); Pneumothorax (Common post-surgical side effect); Anesthetic Complications (Reaction related to general anesthesia)";"Post-thyroidectomy neck hematoma / acute airway compromise; Transient or permanent hypocalcemia (parathyroid injury); Post-tonsillectomy hemorrhage (Excessive or unexpected bleeding during the procedure); CSF leak (nasal/otologic); Wound Infection (Infection at the neck incision site)";"Permanent hypoparathyroidism requiring lifelong calcium/vitamin D; Permanent vocal cord paralysis / hoarseness; Keloid / scar hypertrophy; Nasal septum perforation or saddle nose deformity (Accidental hole or tear in an organ or tissue); Hypothyroidism Requiring Lifelong Medication (Ongoing need for thyroid hormone replacement)"
Blepharoplasty (Upper Eyelid);Plastic, Reconstructive & Aesthetic Surgery;"Local anesthetic toxicity / allergic reaction; Inadvertent deep fascial or muscle layer injury (Common post-surgical side effect); Failure to excise full lesion capsule (Common post-surgical side effect); Bleeding at the Excision Site (Excessive bleeding during removal); Nerve Irritation (Temporary numbness near the excision site)";"Surgical site infection or localized abscess (Bacterial, viral, or fungal infection at the surgical site); Hematoma or seroma requiring aspiration (Collection of blood causing swelling); Skin flap necrosis or graft failure (Skin complications); Wound dehiscence (Healing complications at the surgical site); Bruising (Discoloration of the skin around the surgical site)";"Lesion recurrence (if capsule retained); Hypertrophic scar / keloid formation; Chronic localized paresthesia or neuropathic pain (Post-operative soreness or discomfort as tissues heal); Asymmetry or cosmetic dissatisfaction (Common post-surgical side effect); Contour Irregularity (A visible dip or unevenness in the skin where the lesion was removed)"
Blepharoplasty (Lower Eyelid Transconjunctival);Plastic, Reconstructive & Aesthetic Surgery;"Local anesthetic toxicity / allergic reaction; Inadvertent deep fascial or muscle layer injury (Common post-surgical side effect); Failure to excise full lesion capsule (Common post-surgical side effect); Bleeding at the Excision Site (Excessive bleeding during removal); Nerve Irritation (Temporary numbness near the excision site)";"Surgical site infection or localized abscess (Bacterial, viral, or fungal infection at the surgical site); Hematoma or seroma requiring aspiration (Collection of blood causing swelling); Skin flap necrosis or graft failure (Skin complications); Wound dehiscence (Healing complications at the surgical site); Bruising (Discoloration of the skin around the surgical site)";"Lesion recurrence (if capsule retained); Hypertrophic scar / keloid formation; Chronic localized paresthesia or neuropathic pain (Post-operative soreness or discomfort as tissues heal); Asymmetry or cosmetic dissatisfaction (Common post-surgical side effect); Contour Irregularity (A visible dip or unevenness in the skin where the lesion was removed)"
